task_id	category	score	summary	action	evidence
21663	entity_omission	0.947368	Review unannotated 'human' as ORGANISM; the exact mention is labeled ORGANISM in 66 other occurrences.	"{""end"": 97, ""kind"": ""add_entity"", ""start"": 92, ""suggested_label"": ""ORGANISM"", ""text"": ""human""}"	"{""label"": ""ORGANISM"", ""support"": 66, ""surface"": ""human""}"
21778	entity_omission	0.947368	Review unannotated 'Human' as ORGANISM; the exact mention is labeled ORGANISM in 66 other occurrences.	"{""end"": 5, ""kind"": ""add_entity"", ""start"": 0, ""suggested_label"": ""ORGANISM"", ""text"": ""Human""}"	"{""label"": ""ORGANISM"", ""support"": 66, ""surface"": ""human""}"
21834	entity_omission	0.947368	Review unannotated 'human' as ORGANISM; the exact mention is labeled ORGANISM in 66 other occurrences.	"{""end"": 24, ""kind"": ""add_entity"", ""start"": 19, ""suggested_label"": ""ORGANISM"", ""text"": ""human""}"	"{""label"": ""ORGANISM"", ""support"": 66, ""surface"": ""human""}"
21924	entity_omission	0.947368	Review unannotated 'human' as ORGANISM; the exact mention is labeled ORGANISM in 66 other occurrences.	"{""end"": 117, ""kind"": ""add_entity"", ""start"": 112, ""suggested_label"": ""ORGANISM"", ""text"": ""human""}"	"{""label"": ""ORGANISM"", ""support"": 66, ""surface"": ""human""}"
21953	entity_omission	0.947368	Review unannotated 'human' as ORGANISM; the exact mention is labeled ORGANISM in 66 other occurrences.	"{""end"": 127, ""kind"": ""add_entity"", ""start"": 122, ""suggested_label"": ""ORGANISM"", ""text"": ""human""}"	"{""label"": ""ORGANISM"", ""support"": 66, ""surface"": ""human""}"
22027	entity_omission	0.947368	Review unannotated 'Human' as ORGANISM; the exact mention is labeled ORGANISM in 66 other occurrences.	"{""end"": 5, ""kind"": ""add_entity"", ""start"": 0, ""suggested_label"": ""ORGANISM"", ""text"": ""Human""}"	"{""label"": ""ORGANISM"", ""support"": 66, ""surface"": ""human""}"
22027	entity_omission	0.947368	Review unannotated 'human' as ORGANISM; the exact mention is labeled ORGANISM in 66 other occurrences.	"{""end"": 71, ""kind"": ""add_entity"", ""start"": 66, ""suggested_label"": ""ORGANISM"", ""text"": ""human""}"	"{""label"": ""ORGANISM"", ""support"": 66, ""surface"": ""human""}"
22478	entity_omission	0.947368	Review unannotated 'human' as ORGANISM; the exact mention is labeled ORGANISM in 66 other occurrences.	"{""end"": 11, ""kind"": ""add_entity"", ""start"": 6, ""suggested_label"": ""ORGANISM"", ""text"": ""human""}"	"{""label"": ""ORGANISM"", ""support"": 66, ""surface"": ""human""}"
22658	entity_omission	0.947368	Review unannotated 'human' as ORGANISM; the exact mention is labeled ORGANISM in 66 other occurrences.	"{""end"": 60, ""kind"": ""add_entity"", ""start"": 55, ""suggested_label"": ""ORGANISM"", ""text"": ""human""}"	"{""label"": ""ORGANISM"", ""support"": 66, ""surface"": ""human""}"
22841	entity_omission	0.947368	Review unannotated 'human' as ORGANISM; the exact mention is labeled ORGANISM in 66 other occurrences.	"{""end"": 44, ""kind"": ""add_entity"", ""start"": 39, ""suggested_label"": ""ORGANISM"", ""text"": ""human""}"	"{""label"": ""ORGANISM"", ""support"": 66, ""surface"": ""human""}"
23046	entity_omission	0.947368	Review unannotated 'human' as ORGANISM; the exact mention is labeled ORGANISM in 66 other occurrences.	"{""end"": 140, ""kind"": ""add_entity"", ""start"": 135, ""suggested_label"": ""ORGANISM"", ""text"": ""human""}"	"{""label"": ""ORGANISM"", ""support"": 66, ""surface"": ""human""}"
21694	entity_omission	0.935042	Review unannotated 'plants' as ORGANISM; the exact mention is labeled ORGANISM in 44 other occurrences.	"{""end"": 18, ""kind"": ""add_entity"", ""start"": 12, ""suggested_label"": ""ORGANISM"", ""text"": ""plants""}"	"{""label"": ""ORGANISM"", ""support"": 44, ""surface"": ""plants""}"
22195	entity_omission	0.935042	Review unannotated 'plants' as ORGANISM; the exact mention is labeled ORGANISM in 44 other occurrences.	"{""end"": 177, ""kind"": ""add_entity"", ""start"": 171, ""suggested_label"": ""ORGANISM"", ""text"": ""plants""}"	"{""label"": ""ORGANISM"", ""support"": 44, ""surface"": ""plants""}"
22396	entity_omission	0.935042	Review unannotated 'plants' as ORGANISM; the exact mention is labeled ORGANISM in 44 other occurrences.	"{""end"": 153, ""kind"": ""add_entity"", ""start"": 147, ""suggested_label"": ""ORGANISM"", ""text"": ""plants""}"	"{""label"": ""ORGANISM"", ""support"": 44, ""surface"": ""plants""}"
22537	entity_omission	0.935042	Review unannotated 'plants' as ORGANISM; the exact mention is labeled ORGANISM in 44 other occurrences.	"{""end"": 132, ""kind"": ""add_entity"", ""start"": 126, ""suggested_label"": ""ORGANISM"", ""text"": ""plants""}"	"{""label"": ""ORGANISM"", ""support"": 44, ""surface"": ""plants""}"
22555	entity_omission	0.935042	Review unannotated 'plants' as ORGANISM; the exact mention is labeled ORGANISM in 44 other occurrences.	"{""end"": 52, ""kind"": ""add_entity"", ""start"": 46, ""suggested_label"": ""ORGANISM"", ""text"": ""plants""}"	"{""label"": ""ORGANISM"", ""support"": 44, ""surface"": ""plants""}"
22950	entity_omission	0.935042	Review unannotated 'plants' as ORGANISM; the exact mention is labeled ORGANISM in 44 other occurrences.	"{""end"": 66, ""kind"": ""add_entity"", ""start"": 60, ""suggested_label"": ""ORGANISM"", ""text"": ""plants""}"	"{""label"": ""ORGANISM"", ""support"": 44, ""surface"": ""plants""}"
23060	entity_omission	0.935042	Review unannotated 'plants' as ORGANISM; the exact mention is labeled ORGANISM in 44 other occurrences.	"{""end"": 118, ""kind"": ""add_entity"", ""start"": 112, ""suggested_label"": ""ORGANISM"", ""text"": ""plants""}"	"{""label"": ""ORGANISM"", ""support"": 44, ""surface"": ""plants""}"
23097	entity_omission	0.935042	Review unannotated 'plants' as ORGANISM; the exact mention is labeled ORGANISM in 44 other occurrences.	"{""end"": 179, ""kind"": ""add_entity"", ""start"": 173, ""suggested_label"": ""ORGANISM"", ""text"": ""plants""}"	"{""label"": ""ORGANISM"", ""support"": 44, ""surface"": ""plants""}"
23109	entity_omission	0.935042	Review unannotated 'plants' as ORGANISM; the exact mention is labeled ORGANISM in 44 other occurrences.	"{""end"": 147, ""kind"": ""add_entity"", ""start"": 141, ""suggested_label"": ""ORGANISM"", ""text"": ""plants""}"	"{""label"": ""ORGANISM"", ""support"": 44, ""surface"": ""plants""}"
19680	relation_omission	0.983333	Review missing STRAIN-COMPOUND:PRODUCES between 'kt1115' and 'rls'; it is present in 20/21 matching contexts.	"{""from_id"": ""review_4232f15b6243"", ""kind"": ""add_relation"", ""suggested_label"": ""PRODUCES"", ""to_id"": ""T_JuTp1dsD""}"	"{""negative"": 1, ""positive"": 20, ""positive_fraction"": 0.9523809523809523, ""typed_relation"": ""STRAIN-COMPOUND:PRODUCES""}"
19356	relation_omission	0.974444	Review missing STRAIN-ORGANISM:SYMBIONT_OF between 'epr9n' and 'b. thermophilus'; it is present in 8/9 matching contexts.	"{""from_id"": ""review_dbd333778ea5"", ""kind"": ""add_relation"", ""suggested_label"": ""SYMBIONT_OF"", ""to_id"": ""mV5ZcafeGx""}"	"{""negative"": 1, ""positive"": 8, ""positive_fraction"": 0.8888888888888888, ""typed_relation"": ""STRAIN-ORGANISM:SYMBIONT_OF""}"
